title,review,date,rating,sentiment,topic
"Amazon lose the parcel, then repeatedly lie about refunding","Amazon lose the parcel, then repeatedly lie about refunding Amazon first claimed the parcel had been shipped, when it fact, they lost it, and the courier never picked it up.Then they claimed it was only delayed.Then they on 3 occassions claimed they would issue a refund - despite their own site showing ""this may be lost"" and the DPD tracker showing the item was never picked up.Weeks later, 3 lies about refunding in 7 days, and the most blunt customer disservice.Still over two-and-a-half-grand out of pocket because they lost a high value item.",2024-06-17 19:48:21+00:00,1.0,Negative,Customer Service
I love Amazon!!,I love Amazon!! Easy to use app that makes shopping from my phone super convenient. They have everything I need. Returns are also such a fast process.,2024-06-17 22:34:02+00:00,4.0,Positive,Website/App
TWO items in same box - NOPE only ONE,"TWO items in same box - NOPE only ONE Amazon claimed to have packaged TWO items in the same box - a folding guitar stand - and an electronic guitar tuner. THE TUNER WAS NOT IN THE BOX and I tried to indicate that to amazon, but there is NO formal place to do that - I was forced to order the guitar tuner again and pay a second time",2024-06-18 00:49:58+00:00,1.0,Negative,Delivery
shoddy products from china,"shoddy products from china purchased electric coffee bean, nut grinder poorly and dangerous cut my thumb on product while trying to remove lid as metal rim round top of product razor sharp required stiches amazon have not offered to refund me this is not acceptable as this product only fit for rubbish bin",2024-06-18 09:43:37+00:00,1.0,Negative,Product Quality
I bought a potato chipper of Amazonâ€¦,"I bought a potato chipper of Amazonâ€¦ I bought a potato chipper of Amazon before I even used it I got an email from Amazon review it,well I used it for the 1st time what a waste of money it just bent the chipper poorly made donâ€™t buy it.They said we will give you 1/2 the money back not good enough Amazon up to their old tricks",2024-06-18 09:59:04+00:00,1.0,Negative,Product Quality
Idoits who email you a delvery 'code'â€¦,Idoits who email you a delvery 'code'â€¦ Idoits who email you a delvery 'code' far too late for the delivery.I don't sit by my computer waiting for you idoits to get your act together,2024-06-18 15:37:38+00:00,1.0,Negative,Delivery
Wong Orders and Wrong Address,"Wong Orders and Wrong Address Three of my last orders through Amazon have had problems. I received items I did not order and didn't receive the orders I paid for. Additionally, they've delivered to the wrong address several times. These problems are new. It's Amazon under new management or have they changed their hiring procedures?",2024-06-18 20:17:32+00:00,1.0,Negative,Delivery
They are literally the worst if youâ€¦,They are literally the worst if youâ€¦ They are literally the worst if you want to cancel an item and they are preparing it for shipping. They refuse to cancel. This waste so many additional resources and time that itâ€™s ridiculous. How can you guys be able to contact UPS and FedEx to reroute items back to the shipment facility but you guys canâ€™t do that on your own when itâ€™s being shipped by Amazon logistics? This is the most trash company Iâ€™ve ever dealt with .,2024-06-18 22:10:52+00:00,1.0,Negative,Customer Service
I wish I could rate it 0,"I wish I could rate it 0 I wish I could rate it 0 Horrible customer service, the prime order hasn't arrived on time after 3 days.After being passed through 4 different people on the chat feeding me the same generic robotic response, they've just told me that there's nothing they can do, no refund no discount for them missing their delivery date... 0 Professionalism",2024-06-18 22:23:24+00:00,1.0,Negative,Customer Service
amazon is the biggest pile of faecesâ€¦,"amazon is the biggest pile of faecesâ€¦ amazon is the biggest pile of faeces ever. ive closed my account and will ever use these Rsholes again. when i buy something from them, my contract is with them, but they try to fob me off by saying they are not responsible for 'third party sellers', and try to make me liaise with the seller !!!! When it comes to getting a refund, be aware that you may spend a fortune on return postage, like i did, and not get a refund. i couldnt be bothered ringing them anymore, after so many occasions, that i just closed my account.There is always ebay if im desparate to spend my money online.",2024-06-18 22:45:41+00:00,1.0,Negative,Customer Service
Amazon have really gone downhill.,"Amazon have really gone downhill. Amazon used to be a really reliable company, but recently they have really gone downhill. Whilst the cost of Amazon Prime is going up, the quality of service we are receiving is gong down. I ordered an item on Saturday afternoon specifically because it stated the item would arrive the next day on Sunday. The item did arrive the next day, albeit a little late. But the main problem was the item I had ordered did not work. I set up a return and Royal Mail collected the damaged item to be returned. Whilst I waited for the refund, I reordered another item, the same as what I had ordered on the Saturday, but a different brand. This was due to be delivered on Tuesday. The item I had ordered required very specific batteries to operate, so I added those to the same order to ensure I'd be able to use my item when it finally arrives on Tuesday. The item did arrive, albeit a little late again, on Tuesday as stated. However, for some reason the batteries are coming separate. Amazon did say these batteries would arrive on the same day, Tuesday, by 10pm. However, it's past 10pm and there is no sign of them. Item still waiting to be dispatched according to the app, but still on track to arrive today by 10pm? It's Tuesday night and I'm still without the item I originally ordered to get on Sunday. I've spent thousands with Amazon. But that is about to stop at their customer service has become terrible. They get more of my orders wrong than they do right.",2024-06-18 23:00:38+00:00,1.0,Negative,Delivery
AMAZON HAS GONE REALLY BAD SERVICE.,"AMAZON HAS GONE REALLY BAD SERVICE. AMAZON HAS GONE REALLY BAD SERVICE.DELIVERY DRIVERS ARE NOT CHECKING DOORS FOR RIGHT ADDRESS AND JUST POSTING OR DUMPING PARCELS ANYWHERE.THE QUALITY OF SELLERS ARE NOT CHECKED BY AMAZON AND BEING SOLD TERRIBLE PRODUCTS.THIS PLACE IS BAD.GETTING WORSE EVERY YEAR.RUBBISH CUSTOMER SERVICES, WITH FOREIGNERS WHO ARE ANSWERING THE CALL, NOT CLAR OR VERY RUDE STAFF.1 OUT OF 10. RUBBISH IN EVERY WAY",2024-06-19 10:18:51+00:00,1.0,Negative,Delivery
The most horible company ever.,The most horible company ever. The most horible company I've ever used.Had an order for a Samsung S24 altra suddenly canceled without any explanation.I contacted their support team several times and always receiving same feedback that I canceled the order myself.Literarilly telling me I lost my sanity and this is not the first time.I've had enough.,2024-06-19 10:26:52+00:00,1.0,Negative,Customer Service
Hi what has happened with prim next dayâ€¦,"Hi what has happened with prim next dayâ€¦ Hi what has happened with prim next day delivery,I ordered a kettle as a gift because it said next day,but yet again get a message after saying delayed for 2days,not good when it is a last minute gift.",2024-06-19 11:07:44+00:00,1.0,Negative,Delivery
Amazon mobile phone scam,"Amazon mobile phone scam I received a phone smashed on both sides from an amazon seller called 'dig and delve'. Read all the Google reviews of â€œdig and delveâ€ for details of their numerous scams. When I returned this, the scammers claimed it was not the phone they sent(!) Incredibly, weeks later, Amazon will not refund my ~Â£600 claiming this is a matter for the sellers (scammers). The whole thing is shocking! Do not use these guys or Amazon for high value purchases.",2024-06-19 12:04:57+00:00,1.0,Negative,Product Quality
I closed my Amazon Account,"I closed my Amazon Account Was given a fake email address to complain to also which went undelivered when I attempted to make a formal complaint before I take it to the ombudsman. .closed my Amazon Account, really wanted to just close Amazon Prime, yet again charged for amazon Prime when I do not want it. Accidently closed account? Rang up to sort this out straight away, Sent an email saying I had miss-used my account> NO I have not and they can't even tell me why?? just sent out a generic email saying I had, I rang them and was told in 24 hours you will have a response, 28 hours no so rang them again, no idea why my account is closed, have another 24 hours and lets see what else they can make up???? what a bunch of con people!!! I wonder what the regulators make of all this from Amazon (Financial Ombudsman Service) I was also told to open a 2nd account which is against company policy and regulations",2024-06-19 17:49:25+00:00,1.0,Negative,Customer Service
50/50,50/50 They are ok they have a selection but they put parcels a5 random houses on my street I hate it .,2024-06-19 18:04:56+00:00,3.0,Neutral,Delivery
delivery drivers do not follow simpleâ€¦,"delivery drivers do not follow simpleâ€¦ delivery drivers do not follow simple instructions, some have damaged my property , customer service is awfull",2024-06-19 18:58:55+00:00,1.0,Negative,Delivery
I was a victim of fraud so l called toâ€¦,"I was a victim of fraud so l called toâ€¦ I was a victim of fraud so l called to cancel the fraudulent account but according to te reps l have to login to cancel. What how do you access an account you didn't create. I asked for supervisors because of all the ""overseas"" didn't understand spoke with someone here still the same run around.",2024-06-19 19:36:45+00:00,1.0,Negative,Customer Service
Fake amazon scam,Fake amazon scam I got whatsp message from +447983851129 and +447492569492 by girl showing business with amazon and sending detail as below link I share Need attention on Name of Amazon Rob innocent People May how many every day loosing money request to catch this people and take action what in your hand and save people I also once scammed so requesting to take necessary action here she chatt people from above number and send Amazon fake site and date as same as your website in first eye looking same but i know this all are fake so here i sending detail please check and take necessary action. I request to catch this people by your Intelligence system so we can save many. still i chatting with her not send any money but giving her time to if you can take action I feel happy if any take action,2024-06-19 19:50:28+00:00,2.0,Negative,Website/App
I bought a Visa Gift Card from Amazonâ€¦,"I bought a Visa Gift Card from Amazonâ€¦ I bought a Visa Gift Card from Amazon and when I went to use it two charges had already been made. I called Amazon two times and asked for the customer service phone number in the U.S. after spending over 1.5 hours on the phone. After speaking with customer service in the U.S. I was told that the credit card I used to make the purshase with would be refunded. Three days went by with no refund. I called again and asked for the customer service phone number in the U.S. and was told there was none. Ruan D. was so rude talking over me and hanging up on me twice. After the second time when I asked for his name, I got an email from Amazon with a list of phone numbers with one for Canada and the U.S. I had already called the U.S. number which went to the Ruan D. I am thinking Amazon cuts off customers from speaking with anyone from the U.S. when they no longer want to deal with the issue. This company is not ethical, and due to its size, there are no regulatory agencies to hold them accountable. Moving forward I will not be giving my business to Amazon. Unfortinately, I am one of the many who is guility of not buying local!",2024-06-19 23:37:41+00:00,1.0,Negative,Customer Service
They take several days to issueâ€¦,They take several days to issueâ€¦ They take several days to issue refunds. Buyers beware!!,2024-06-20 04:10:18+00:00,1.0,Negative,Pricing
ORDERED A LAPTOP FOR SAME DAY DELIVERYâ€¦,"ORDERED A LAPTOP FOR SAME DAY DELIVERYâ€¦ ORDERED A LAPTOP FOR SAME DAY DELIVERY AND NEVER ARRIVED WAITED FOR 6 DAYS AND NOTHING DESPITE TALKING TO CUSTOMER SERVICE AGENTS ASSURING ME IT WILL ARRIVE BUT NEVER ARRIVED SINCE I DECIDE TO REFUND A PARTIAL PAYMENT FOR THE ITEM WHICH IS SUPPOSED TO BE Â£174, AFTER RECEIVING THE NOTIFICATION I SUDDENLY SAW ONLY Â£145 WILL BE REFUNDED WHAT THE HELL IS THIS I CANCELLED MY SUBSCRIPTION DUE TO YOUR COMPANY NEGLIGENCE AND IRRESPONSIBILITY! A TOTAL RIP OFF!!",2024-06-20 06:25:00+00:00,1.0,Negative,Delivery
My favourite online shopping,My favourite online shopping Disclaimer: this review was initially posted to the UK site however I just noticed that the profile is unclaimed.I see all the negativity around Amazon however Iâ€™ve had nothing but positive experiences with them so far. Got a full refund on a 2yo earbuds which Iâ€™m pretty confident that no other shop would honour. Amazon still remains my favourite online shopping option.,2024-06-20 06:40:57+00:00,5.0,Positive,Customer Service
Purchased tv and wall  brackets on 2ndâ€¦,Purchased tv and wall brackets on 2ndâ€¦ Purchased tv and wall brackets on 2nd of JunePaid 125 for fitting on the 8th of June however no engineer arrived to fit. It is now the 20th of June have called 9 times total of 4 hours of conversation and was promised engineer yesterday to fit tv and again no show. I honestly canâ€™t put into words the incompetence of this company they promise you everything continually apologise but actually there words mean nothing. At one point I was actually told by the operator that the engineer was in my road !!! Yet another lie.Please save your money and donâ€™t book a service with Amazon or even a large item with them as you could be waiting forever.,2024-06-20 09:59:04+00:00,1.0,Negative,Customer Service
How is this dysfunctional company stillâ€¦,"How is this dysfunctional company stillâ€¦ How is this dysfunctional company still in business??? I laced an order which was out for delivery yesterday and by 7pm it was a no show, tracking just stated it was out for delivery, tried today and it states package out for delivery today. I rang CS and they reckon package is damaged and will be re delivered at an unknown future date. This company used to be a world leader, now it is just another washed up site that feels that it is perfectly o to treat customers like cattle.",2024-06-20 11:26:05+00:00,1.0,Negative,Delivery
Amazon don't have a Complaint team and if they do nobody knows where,"Amazon don't have a Complaint team and if they do nobody knows where There is so much wrong with the way Amazon deals with their customers and my experience with the company in the last 10 months, that it is pretty impossible to sum it up in a review. However given the awful experience and their ongoing failure to resolve the issues I feel others who may not have used this platform often or recently should know exactly what they might face if anything goes wrong. My account suddenly appeared to be frozen with the only option to make digital orders -very clever as I subscribe to Kindle- this issue first happened in May 24 which was frustrating as my daughter did not to receive her birthday present which I ordered in plenty of time. Eventually I was told the possible reasons and was passed on to FOUR different people over the space of three hours. I'll refrain from going through all the incompetence I experienced but I'll sum it up by saying it's now 7.15 and today at 3pm I was assured my order had been processed and would be delivered tomorrow, after speaking to 3 people and a manager I'm none the wiser and once again the items I urgently need won't be here! But of course payment has been taken and nobody has advised me not to place a new order, on the contrary I am told I'm a valued loyal customer and there's no reason for me to cancel an Amazon account that I can't access!!! Oh and apparently Complaints and Escalations team doesn't exist despite the email I've received from them and although I am visually impaired the only way to communicate is by email!!! It's so ridiculous I'd laugh if I had the energy after wasting so much time today Added 20/6/24 I've now read multiple reviews of this company and many people seem to have had the same experience as myself. Interesting Amazon don't even bother responding.",2024-06-20 13:38:29+00:00,1.0,Negative,Customer Service
Subscribe & Save changed delivery date without notice,"Subscribe & Save changed delivery date without notice Amazon Subscribe and Save changed the last day you can make changes to your delivery by several days (almost a week) without any notice to the customer. This caused me to be charged for a lot of items that I didnâ€™t want. I canceled what I could, but some items had already been shipped. They should have sent an email or test informing customers of this change. They did not.",2024-06-20 17:00:06+00:00,1.0,Negative,Delivery
Worst book ever on Amazon,"Worst book ever on Amazon An old guy writes about his boring life. he has a picture of a boy on the cover, which he has stolen fom some website.The title is meaningless, really stupid. He has called it BOB'S SUMMER FETE SERENDIPITY, Crazy meaningless title. He is 84 years old, so maby he is losing his marbles. he rambles on about driving a truck. Every thing he does is just plain stupid. Maybe I am being harse but nobody will every read his book. No memember of his family has bothered to even take a peak inside. How do I know this, because Bob has posted it on Facebook. I looked him up out of curiosity. He has made many stupid videos, all complete nonsense. Why does he bother. I wish him well, but he would be better off taking up a hobby, such as rig making or knitting, Take care Bob. long life and happiness,",2024-06-20 18:05:10+00:00,5.0,Negative,Product Quality
NO SERVICE,"NO SERVICE They have had ""technical difficulties"" with their chat seemingly forever - every time I try to chat, not just today. I need to communicate with them about the items I ordered and cannot. I cannot call as am in another country. And when I click on the item I ordered it says ""cannot deliver to your location"", yet when I ordered it, it did say it can be delivered to my location. They need to fix all of this!!!",2024-06-20 19:01:24+00:00,1.0,Negative,Customer Service
Very nice and kool,Very nice and kool Review text not found,2024-06-21 03:30:13+00:00,5.0,Positive,Customer Service
This is a Horrible company,This is a Horrible company This is a Horrible company. They have got soooo money hungry. The shipping is now always late for no reason. They hold on to your money sometimes over a month for a refund. Charge you for membership and also increase the price of products. Buy ebay or direct and save money and sometimes get it faster. customer service is beyond horrible. No agent is from America and cant speak our language well. I choose to support american businesses,2024-06-21 04:17:11+00:00,1.0,Negative,Customer Service
Samsung Z Fold5 damaged to the tune of Â£500 to repair,"Samsung Z Fold5 damaged to the tune of Â£500 to repair Got a brand new Samsung Z fold5 phone and bought a case from Amazon , a spring popped out from the hinge of the case and has damaged the edge of my screen and scratched the hinge , I contacted Amazon and I was asked to send them pics of the damage , which I and fed sending them , also a receipt for the repairs , which come to Â£500 , so paid over Â£1000 for a new phone and a case from Amazon has caused Â£500 of damage . Joanna BExecutive Customer Relations, that's a joke right away, has been sent numerous emails with the receipt for cost of repair and hasn't even got the decency to open my emails to her they're just being ignored , so if you have a Samsung Z Fold 5 don't get your case from them coz they are not interested if your phone get's damaged",2024-06-21 10:56:10+00:00,1.0,Negative,Product Quality
I ordered  a Tangzon wine bar cabinetâ€¦,"I ordered a Tangzon wine bar cabinetâ€¦ I ordered a Tangzon wine bar cabinet and a toilet cabinet was delivered, Amazon refused to send a pre paid postage label, claiming that it was sold by a third party on their platform, but I paid to amazon and why are they not taking the full ownership of the return, despite the fact that it wasn't my fault, to add insult to my pain, the supplier claimed that amazon was in charge of the delivery and it has nothing to do with them. My order no is: 205-692-0727-9561911.As at going to press the item still lying at my door and Amazon as a company needed to be broken up as it seems they are monopolising the online retail outlet.As long Bezos is making his billions tough luck to ordinary customers like me",2024-06-21 12:24:31+00:00,1.0,Negative,Customer Service
I hate Amazon,"I hate Amazon I hate Amazon. Never use it but got gifted a gift card, which got attached to the US Amazon. I live in Europe so that shipping costs exceed the amount on the card and it's basically useless to me.Of course, company policy prevents me to use it on any other European Amazon website even though it's the same account, under my name and my email address. Poor CS are useless and their hands are tied.",2024-06-21 12:58:12+00:00,1.0,Negative,Pricing
Negative star rating here,"Negative star rating here Negative star rating here. Amazon as a company has declined so much. Poor customer service and their app is not good. I ordered a pet product which couldnâ€™t be returned. I alway check for non refundable items because I donâ€™t purchase them. Even after I was told the item is not returnable I still couldnâ€™t find it. One representative even said the app might not show it. Well then F-U because that shouldnâ€™t be on me. No longer a buyer. Thank god Walmart, Temu which is now carrying a lot of the SAME stuff including same advertisements cheaper, have stepped up over the last few years.",2024-06-21 13:58:57+00:00,1.0,Negative,Customer Service
"Amazon is great, delivery times are not so much","Amazon is great, delivery times are not so much Amazon is great, I use it often, itâ€™s convenient, prices are good but it would be nice if they would deliver things based on the at time of purchase delivery time. So many times now, I purchase something because it is supposed to arrive that day, to later find out itâ€™s not arriving until the next day by 10pm. I would just go and purchase the thing I needed if the delivery times were up to date. A wee bit annoying.",2024-06-21 14:35:20+00:00,2.0,Positive,Delivery
"Ordered a shed , cancelled 2 hours later and was told already shipped now who ships before a payment has actually had gone thru, thumbs down","Ordered a shed , cancelled 2 hours later and was told already shipped now who ships before a payment has actually had gone thru, thumbs down Poor service",2024-06-21 15:58:39+00:00,1.0,Negative,Customer Service
Customer Service just doesn't listen.,"Customer Service just doesn't listen. Customer Service just doesn't listen.I was working with Amazon Ads as a seller when, suddenly, they just suspended the account. No reason. No fixing. No help. Nothing. I've reached them several times and it's like talking to a wall. It's clear that they don't want our money...",2024-06-21 16:09:22+00:00,1.0,Negative,Customer Service
Worst customer service I've experiencedâ€¦,"Worst customer service I've experiencedâ€¦ Worst customer service I've experienced thus far in life. Seriously. Horrible, rude, lazy, incompetent, and to top it all off, liars. Literally the worst kind of people and zero help. Amazon basically false-advertises a one day shipping option via Prime. You take the bait.. pay them versus going through a different product vendor. Then they switch the entire order up on you, splitting it into 5 different orders with products showing up more than a week later. If you can't honor the one day shipping because it has to come from different warehouses, then don't effing offer it so I can purchase it somewhere else. Stop lying to customers!",2024-06-21 16:43:41+00:00,1.0,Negative,Delivery
